location,date,yield,rainfall_mm,soil_salinity
Srikakulam,2022-01-01,2.8,100,1.3
Srikakulam,2022-02-01,2.9,85,1.28
Srikakulam,2022-03-01,3.0,90,1.25
Srikakulam,2022-04-01,3.1,95,1.22
Srikakulam,2022-05-01,3.2,80,1.2
Srikakulam,2022-06-01,3.1,70,1.18
Srikakulam,2022-07-01,3.0,60,1.15
Srikakulam,2022-08-01,2.9,65,1.12
Srikakulam,2022-09-01,2.8,75,1.1
Srikakulam,2022-10-01,2.7,85,1.08
Srikakulam,2022-11-01,2.6,90,1.05
Srikakulam,2022-12-01,2.5,95,1.02

Prakasam,2022-01-01,3.0,95,1.2
Prakasam,2022-02-01,3.1,80,1.18
Prakasam,2022-03-01,3.3,85,1.15
Prakasam,2022-04-01,3.4,90,1.12
Prakasam,2022-05-01,3.5,75,1.1
Prakasam,2022-06-01,3.4,65,1.08
Prakasam,2022-07-01,3.3,60,1.05
Prakasam,2022-08-01,3.2,70,1.03
Prakasam,2022-09-01,3.1,80,1.0
Prakasam,2022-10-01,3.0,85,0.98
Prakasam,2022-11-01,2.9,90,0.95
Prakasam,2022-12-01,2.8,95,0.92

West Godavari,2022-01-01,3.2,90,1.1
West Godavari,2022-02-01,3.3,85,1.08
West Godavari,2022-03-01,3.4,95,1.05
West Godavari,2022-04-01,3.5,100,1.02
West Godavari,2022-05-01,3.6,80,1.0
West Godavari,2022-06-01,3.5,70,0.98
West Godavari,2022-07-01,3.4,65,0.95
West Godavari,2022-08-01,3.3,75,0.92
West Godavari,2022-09-01,3.2,85,0.9
West Godavari,2022-10-01,3.1,90,0.88
West Godavari,2022-11-01,3.0,95,0.85
West Godavari,2022-12-01,2.9,100,0.82

Vizag,2022-01-01,2.9,110,1.3
Vizag,2022-02-01,3.0,95,1.25
Vizag,2022-03-01,3.2,100,1.28
Vizag,2022-04-01,3.3,105,1.3
Vizag,2022-05-01,3.5,90,1.32
Vizag,2022-06-01,3.4,80,1.35
Vizag,2022-07-01,3.2,70,1.33
Vizag,2022-08-01,3.1,75,1.3
Vizag,2022-09-01,3.0,85,1.28
Vizag,2022-10-01,2.9,95,1.25
Vizag,2022-11-01,2.8,100,1.22
Vizag,2022-12-01,2.7,110,1.2

Vijayawada,2022-01-01,3.2,90,1.25
Vijayawada,2022-02-01,3.3,85,1.22
Vijayawada,2022-03-01,3.4,95,1.2
Vijayawada,2022-04-01,3.6,100,1.18
Vijayawada,2022-05-01,3.7,80,1.15
Vijayawada,2022-06-01,3.6,70,1.12
Vijayawada,2022-07-01,3.5,60,1.1
Vijayawada,2022-08-01,3.4,65,1.08
Vijayawada,2022-09-01,3.3,75,1.05
Vijayawada,2022-10-01,3.2,85,1.02
Vijayawada,2022-11-01,3.1,90,1.0
Vijayawada,2022-12-01,3.0,95,0.98

Guntur,2022-01-01,3.4,120,1.2
Guntur,2022-02-01,3.6,80,1.1
Guntur,2022-03-01,3.8,90,1.15
Guntur,2022-04-01,4.0,100,1.18
Guntur,2022-05-01,4.2,70,1.2
Guntur,2022-06-01,4.1,60,1.25
Guntur,2022-07-01,3.9,50,1.22
Guntur,2022-08-01,3.8,55,1.2
Guntur,2022-09-01,3.7,65,1.18
Guntur,2022-10-01,3.6,85,1.15
Guntur,2022-11-01,3.5,90,1.12
Guntur,2022-12-01,3.4,110,1.1

Andhra Pradesh,2022-01-01,3.5,110,1.2
Andhra Pradesh,2022-02-01,3.6,95,1.18
Andhra Pradesh,2022-03-01,3.7,100,1.15
Andhra Pradesh,2022-04-01,3.8,105,1.12
Andhra Pradesh,2022-05-01,3.9,90,1.1
Andhra Pradesh,2022-06-01,3.8,80,1.08
Andhra Pradesh,2022-07-01,3.7,70,1.05
Andhra Pradesh,2022-08-01,3.6,75,1.03
Andhra Pradesh,2022-09-01,3.5,85,1.0
Andhra Pradesh,2022-10-01,3.4,95,0.98
Andhra Pradesh,2022-11-01,3.3,100,0.95
Andhra Pradesh,2022-12-01,3.2,105,0.92
