location,date,yield,rainfall_mm,soil_salinity,sst_c,ocean_salinity
Guntur,2022-01-01,3.4,120,1.2,29.1,35.0
Guntur,2022-02-01,3.6,80,1.1,29.4,35.1
Guntur,2022-03-01,3.8,90,1.15,29.7,35.2
Vizag,2022-01-01,2.9,110,1.3,28.8,34.9
Vizag,2022-02-01,3.0,95,1.25,29.0,35.0
Vizag,2022-03-01,3.2,100,1.28,29.3,35.1
Srikakulam,2022-01-01,3.1,100,1.2,28.5,34.8
Srikakulam,2022-02-01,3.3,85,1.18,28.7,34.9
Srikakulam,2022-03-01,3.5,90,1.15,28.9,35.0
Vijayawada,2022-01-01,3.5,125,1.25,29.2,35.1
Vijayawada,2022-02-01,3.7,110,1.22,29.5,35.2
Vijayawada,2022-03-01,3.9,115,1.2,29.7,35.3
PPM,2022-01-01,3.0,90,1.1,28.9,34.9
PPM,2022-02-01,3.2,95,1.15,29.1,35.0
PPM,2022-03-01,3.4,100,1.18,29.3,35.1
PKD,2022-01-01,3.2,105,1.2,29.0,35.0
PKD,2022-02-01,3.4,100,1.18,29.2,35.1
PKD,2022-03-01,3.6,110,1.2,29.4,35.2
Andhra Pradesh,2022-01-01,3.3,110,1.22,29.0,35.0
Andhra Pradesh,2022-02-01,3.5,105,1.2,29.3,35.1
Andhra Pradesh,2022-03-01,3.7,108,1.18,29.5,35.2
